GenomicLocus	IndSigSNP	chr	bp	snp	DateAddedToCatalog	PMID	FirstAuth	Date	Journal	Link	Study	Trait	InitialN	ReplicationN	Region	ReportedGene	MappedGene	UpGene	DownGene	SNP_Gene_ID	UpGeneDist	DownGeneDist	Strongest	SNPs	marged	SNP_ID_cur	Context	intergenic	RiskAF	P	Pmlog	Ptext	OrBeta	95CI	Platform	CNV
3	rs62177211	2	179104298	rs34479159	2012-08-20	22747683	Eriksson N	2012-06-30	BMC Med Genet	www.ncbi.nlm.nih.gov/pubmed/22747683	Genetic variants associated with breast size also influence breast cancer risk.	Breast size	16,175 European ancestry female individuals	NA	2q31.2	TTN	OSBPL6			ENSG00000079156	NA	NA	rs34479159-C	rs34479159	0	34479159	intron_variant	0	0.19	6E-6	5.22184874961636		0.089	[0.050-0.128] cup size increase	Illumina [7422970] (imputed)	N
4	rs2040744	4	114556075	rs2189364	2019-07-17	28552196	Tachmazidou I	2017-06-01	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/28552196	Whole-Genome Sequencing Coupled to Imputation Discovers Genetic Signals for Anthropometric Traits.	Hip circumference adjusted for BMI	1,247 whole genome sequenced European ancestry individuals, 3,052 whole genome sequenced individuals, 29,518 European ancestry individuals, 400 Carlantino (founder/genetic isolate) individuals, 831 Friuli Venezia Giulia (founder/genetic isolate) individuals, 998 Mylopotamos (founder/genetic isolate) individuals, 871 Pomak (founder/genetic isolate) individuals	205,905 European ancestry individuals	4q26	CAMK2D	CAMK2D			ENSG00000145349	NA	NA	rs2189364-A	rs2189364	0	2189364	intron_variant	0	0.6418	5E-7	6.30102999566398		0.0465	[0.028-0.065] unit decrease	Affymetrix, Illumina, Perlegen [15844966] (imputed)	N
4	rs2040744	4	114698696	rs1476569	2017-06-08	28165464	Law PJ	2017-02-06	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/28165464	Genome-wide association analysis implicates dysregulation of immunity genes in chronic lymphocytic leukaemia.	Chronic lymphocytic leukemia	4,478 European ancestry cases and 13,213 European ancestry controls.	1,722 European ancestry cases and 4,385 European ancestry controls.	4q26	CAMK2D	CAMK2D - NA	ENSG00000145349			15613	NA	rs1476569-G	rs1476569	0	1476569	intergenic_variant	1	NR	6E-10	9.22184874961636		1.18	[1.12-1.25]	Affymetrix, Illumina [> 10000000] (imputed)	N
5	rs12663968	6	66119463	rs2753977	2022-07-05	35668104	Cadby G	2022-06-06	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/35668104	Comprehensive genetic analysis of the human lipidome identifies loci associated with lipid homeostasis with links to coronary artery disease.	Total Cholesteryl ester levels	4,492 European ancestry individuals	NA	6q12		EYS			ENSG00000188107	NA	NA	rs2753977-T	rs2753977	0	2753977	intron_variant	0	NR	5E-10	9.30102999566398		0.198	[0.14-0.26] unit increase	Illumina [13869437] (imputed)	N
5	rs12663968	6	66143736	rs17767951	2022-07-01	35361970	Okbay A	2022-03-31	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/35361970	Polygenic prediction of educational attainment within and between families from genome-wide association analyses in 3 million individuals.	Educational attainment	3,037,499 European ancestry individuals	NA	6q12		EYS			ENSG00000188107	NA	NA	rs17767951-C	rs17767951	0	17767951	intron_variant	0	0.7582	2E-9	8.69897000433602		0.00800292	[0.0054-0.0106] unit decrease	Illumina [10675380] (imputed)	N
5	rs12663968	6	66213646	rs4710292	2022-07-20	34996099	Martin PJ	2022-01-07	Blood Adv	www.ncbi.nlm.nih.gov/pubmed/34996099	Genetic Associations with Immune-mediated Outcomes after Allogeneic Hematopoietic Cell Transplantation.	Acute graft-versus-host disease (stage 2b to 4) (donor effect)	781 European ancestry sibling donors	521 European ancestry sibling donors	6q12		EYS			ENSG00000188107	NA	NA	rs4710292-A	rs4710292	0	4710292	intron_variant	0	0.43	2E-7	6.69897000433602		1.38	[1.22-1.55]	Affymetrix, Illumina [NR] (imputed)	N
5	rs12663968	6	66215549	rs7449561	2018-10-19	30038396	Lee JJ	2018-07-23	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30038396	Gene discovery and polygenic prediction from a genome-wide association study of educational attainment in 1.1 million individuals.	Educational attainment (years of education)	up to 1,131,881 European ancestry individuals	NA	6q12		EYS			ENSG00000188107	NA	NA	rs7449561-A	rs7449561	0	7449561	intron_variant	0	0.226	1E-9	9		0.0102	[0.0069-0.0135] unit increase	Affymetrix, Illumina [10000000] (imputed)	N
5	rs12663968	6	66215549	rs7449561	2022-07-01	35361970	Okbay A	2022-03-31	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/35361970	Polygenic prediction of educational attainment within and between families from genome-wide association analyses in 3 million individuals.	Educational attainment	3,037,499 European ancestry individuals	NA	6q12		EYS			ENSG00000188107	NA	NA	rs7449561-A	rs7449561	0	7449561	intron_variant	0	0.2268	7E-15	14.1549019599857		0.0097312	[0.0073-0.0122] unit increase	Illumina [10675380] (imputed)	N
5	rs12663968	6	66215549	rs7449561	2018-11-12	30038396	Lee JJ	2018-07-23	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30038396	Gene discovery and polygenic prediction from a genome-wide association study of educational attainment in 1.1 million individuals.	Educational attainment (MTAG)	1,311,438 European ancestry individuals	NA	6q12	Intergenic	EYS			ENSG00000188107	NA	NA	rs7449561-A	rs7449561	0	7449561	intron_variant	0	0.226	1E-11	11	(MTAG)	0.0107	[0.0076-0.0138] unit increase	Affymetrix, Illumina [7100000] (imputed)	N
5	rs12663968	6	66215549	rs7449561	2018-11-12	30038396	Lee JJ	2018-07-23	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30038396	Gene discovery and polygenic prediction from a genome-wide association study of educational attainment in 1.1 million individuals.	Highest math class taken (MTAG)	811,539 European ancestry individuals	NA	6q12	Intergenic	EYS			ENSG00000188107	NA	NA	rs7449561-A	rs7449561	0	7449561	intron_variant	0	0.2299	4E-9	8.39794000867204	(MTAG)	0.0115	[0.0076-0.0154] unit increase	Affymetrix, Illumina [7100000] (imputed)	N
5	rs12663968	6	66271154	rs7133815 x rs1411855	2020-07-28	32450446	Wang H	2020-04-29	Neurobiol Aging	www.ncbi.nlm.nih.gov/pubmed/32450446	Genome-wide interaction analysis of pathological hallmarks in Alzheimer's disease.	Total PHF-tau (SNP x SNP interaction)	1,285 individuals	NA	6q12	NR x NR	No mapped genes x EYS				NA	NA	rs7133815-? x rs1411855-?	rs7133815 x rs1411855	0	NA	intron_variant x intron_variant	NA	NR	3E-19	18.5228787452803		NA		Affymetrix, Illumina [279409] (imputed)	N
5	rs12663968	6	66366047	rs9918344	2022-09-01	31882771	Al-Khelaifi F	2019-12-27	Sci Rep	www.ncbi.nlm.nih.gov/pubmed/31882771	Metabolic GWAS of elite athletes reveals novel genetically-influenced metabolites associated with athletic performance.	Ribonate levels in elite athletes	490 individuals	NA	6q12		EYS			ENSG00000188107	NA	NA	rs9918344-?	rs9918344	0	9918344	intron_variant	0	NR	5E-6	5.30102999566398		0.3787216	[0.22-0.54] unit increase	Illumina [275016]	N
5	rs12663968	6	66403837	rs12211518	2018-09-20	30019117	Liu J	2018-07-17	Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30019117	The coexistence of copy number variations (CNVs) and single nucleotide polymorphisms (SNPs) at a locus can result in distorted calculations of the significance in associating SNPs to disease.	Adolescent idiopathic scoliosis	196 cases, 303 controls	NA	6q12	NR	EYS			ENSG00000188107	NA	NA	rs12211518-?	rs12211518	0	12211518	intron_variant	0	NR	1E-6	6		NA		Affymetrix [NR]	N
5	rs12663968	6	66414828	rs12526729	2019-07-19	31219225	Young KA	2019-06-20	Obesity (Silver Spring)	www.ncbi.nlm.nih.gov/pubmed/31219225	Genome-Wide Association Study Identifies Loci for Liver Enzyme Concentrations in Mexican Americans: The GUARDIAN Consortium.	Gamma glutamyl transferase levels	1,577 Mexican American ancestry individuals	NA	6q12	EYS	EYS			ENSG00000188107	NA	NA	rs12526729-?	rs12526729	0	12526729	intron_variant	0	NR	8E-6	5.09691001300806		NA		Illumina [655023]	N
7	rs4332151	8	19306618	rs7818345	2017-07-21	28577822	Deters KD	2017-05-31	Brain Lang	www.ncbi.nlm.nih.gov/pubmed/28577822	Genome-wide association study of language performance in Alzheimer's disease.	Language performance in older adults (adjusted for episodic memory)	310 European ancestry Alzheimer's disease individuals, 511 European ancestry individuals with late mild cognitive impairment, 280 European ancestry individuals with early mild cognitive impairment, 94 European ancestry individuals with significant memory concern, 365 European ancestry individuals with normal cognition	NA	8p21.3	CSGALNACT1	CSGALNACT1			ENSG00000147408	NA	NA	rs7818345-?	rs7818345	0	7818345	intron_variant	0	NR	4E-6	5.39794000867204		0.162	[0.093-0.231] unit decrease	Illumina [5574300] (imputed)	N
7	rs4332151	8	19327959	rs6984449	2015-05-08	25201988	Rietveld CA	2014-09-08	Proc Natl Acad Sci U S A	www.ncbi.nlm.nih.gov/pubmed/25201988	Common genetic variants associated with cognitive performance identified using the proxy-phenotype method.	Educational attainment	106,736 European ancestry individuals	NA	8p21.3	intergenic	CSGALNACT1			ENSG00000147408	NA	NA	rs6984449-A	rs6984449	0	6984449	intron_variant	0	0.601	1E-6	6		0.022	[NR] unit increase	Affymetrix, Illumina [NR] (imputed)	N
7	rs4332151	8	19355336	rs4073791	2019-05-21	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Height	approximately 458,000 European ancestry individuals	NA	8p21.3		CSGALNACT1			ENSG00000147408	NA	NA	rs4073791-?	rs4073791	0	4073791	intron_variant	0	NR	2E-16	15.698970004336		NA		NR [~ 8900000] (imputed)	N
7	rs4332151	8	19363306	rs117494579	2019-10-16	31562340	Akiyama M	2019-09-27	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/31562340	Characterizing rare and low-frequency height-associated variants in the Japanese population.	Height	159,095 Japanese ancestry individuals	32,692 Japanese ancestry individuals	8p21.3	CSGALNACT1	CSGALNACT1			ENSG00000147408	NA	NA	rs117494579-?	rs117494579	0	117494579	missense_variant	0	NR	4E-16	15.397940008672		0.08411582	[0.064-0.104] unit decrease	Illumina [27896057] (imputed)	N
7	rs4332151	8	19363306	rs117494579	2021-12-14	34594039	Sakaue S	2021-09-30	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/34594039	A cross-population atlas of genetic associations for 220 human phenotypes.	Height	165,056 East Asian ancestry individuals	NA	8p21.3		CSGALNACT1			ENSG00000147408	NA	NA	rs117494579-A	rs117494579	0	117494579	missense_variant	0	0.019519	7E-17	16.1549019599857		0.0606391	[0.046-0.075] unit decrease	Illumina [13479295] (imputed)	N
7	rs4332151	8	19363306	rs117494579	2021-12-14	34594039	Sakaue S	2021-09-30	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/34594039	A cross-population atlas of genetic associations for 220 human phenotypes.	Height	360,388 European ancestry individuals, 165,056 East Asian ancestry individuals	NA	8p21.3		CSGALNACT1			ENSG00000147408	NA	NA	rs117494579-A	rs117494579	0	117494579	missense_variant	0	NR	7E-17	16.1549019599857		0.0606	[0.046-0.075] unit decrease	Affymetrix, Illumina [20538915] (imputed)	N
7	rs4332151	8	19370598	rs9644630	2017-03-31	27749845	Lesseur C	2016-10-17	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/27749845	Genome-wide association analyses identify new susceptibility loci for oral cavity and pharyngeal cancer.	Oropharynx cancer	2,506 European ancestry cases, 135 cases, 5,984 European ancestry controls, 601 controls	NA	8p21.3	CSGALNACT1	CSGALNACT1			ENSG00000147408	NA	NA	rs9644630-C	rs9644630	0	9644630	intron_variant	0	0.403417288993538	3E-6	5.52287874528034		1.1837121		Illumina [7574753] (imputed)	N
7	rs4332151	8	19371674	rs11783263	2022-07-01	35361970	Okbay A	2022-03-31	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/35361970	Polygenic prediction of educational attainment within and between families from genome-wide association analyses in 3 million individuals.	Educational attainment	3,037,499 European ancestry individuals	NA	8p21.3		CSGALNACT1			ENSG00000147408	NA	NA	rs11783263-C	rs11783263	0	11783263	intron_variant	0	0.6471	3E-11	10.5228787452803		0.00726173	[0.0051-0.0094] unit increase	Illumina [10675380] (imputed)	N
7	rs4332151	8	19371767	rs7816777	2018-10-19	30038396	Lee JJ	2018-07-23	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30038396	Gene discovery and polygenic prediction from a genome-wide association study of educational attainment in 1.1 million individuals.	Educational attainment (years of education)	up to 1,131,881 European ancestry individuals	NA	8p21.3		CSGALNACT1			ENSG00000147408	NA	NA	rs7816777-T	rs7816777	0	7816777	intron_variant	0	0.3526	2E-9	8.69897000433602		0.0088	[0.0059-0.0117] unit decrease	Affymetrix, Illumina [10000000] (imputed)	N
7	rs4332151	8	19373265	rs4554481	2021-12-23	32439431	Simard M	2020-05-19	J Allergy Clin Immunol	www.ncbi.nlm.nih.gov/pubmed/32439431	Polygenic risk score for atopic dermatitis in the Canadian population.	Atopic dermatitis (moderate to severe)	222 South East Asian ancestry, East Asian ancestry, South Asian ancestry, African American or Afro-Caribbean, European ancestry, Greater Middle Eastern (Middle Eastern, North African or Persian) cases, 2,466 Greater Middle Eastern (Middle Eastern, North African or Persian), Hispanic or Latin American, NR moderate to severe atopic dermatitis cases, 2,466 South East Asian ancestry, East Asian ancestry, South Asian ancestry, African American or Afro-Caribbean, European ancestry, Greater Middle Eastern (Middle Eastern, North African or Persian) cases, 2,466 Greater Middle Eastern (Middle Eastern, North African or Persian), Hispanic or Latin American, NR controls without moderate to severe atopic dermatitis	NA	8p21.3		CSGALNACT1			ENSG00000147408	NA	NA	rs4554481-C	rs4554481	0	4554481	intron_variant	0	NR	3E-11	10.5228787452803	(general)	NA		Illumina [5894709] (imputed)	N
7	rs4332151	8	19379421	rs10107533	2018-11-12	30038396	Lee JJ	2018-07-23	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30038396	Gene discovery and polygenic prediction from a genome-wide association study of educational attainment in 1.1 million individuals.	Educational attainment (MTAG)	1,311,438 European ancestry individuals	NA	8p21.3	Intergenic	CSGALNACT1			ENSG00000147408	NA	NA	rs10107533-A	rs10107533	0	10107533	intron_variant	0	0.1836	2E-9	8.69897000433602	(MTAG)	0.0101	[0.0068-0.0134] unit decrease	Affymetrix, Illumina [7100000] (imputed)	N
7	rs4332151	8	19379421	rs10107533	2018-11-12	30038396	Lee JJ	2018-07-23	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30038396	Gene discovery and polygenic prediction from a genome-wide association study of educational attainment in 1.1 million individuals.	Highest math class taken (MTAG)	811,539 European ancestry individuals	NA	8p21.3	Intergenic	CSGALNACT1			ENSG00000147408	NA	NA	rs10107533-A	rs10107533	0	10107533	intron_variant	0	0.1784	2E-8	7.69897000433602	(MTAG)	0.0121	[0.0078-0.0164] unit decrease	Affymetrix, Illumina [7100000] (imputed)	N
8	rs55829750	10	20747422	rs10828055	2017-12-05	29064472	Lencer R	2017-10-24	Transl Psychiatry	www.ncbi.nlm.nih.gov/pubmed/29064472	Genome-wide association studies of smooth pursuit and antisaccade eye movements in psychotic disorders: findings from the B-SNIP study.	Pursuit maintenance gain	114 African ancestry schizophrenia cases, 69 African schizo-affective cases, 41 African ancestry bipolar disorder cases, 76 African ancestry controls, 116 European ancestry schizophrenia cases, 86 European ancestry schizo-affective cases, 165 European ancestry bipolar disorder cases, 182 European ancestry controls	NA	10p12.31	MIR4675	NA - MIR4675		ENSG00000265372		NA	93477	rs10828055-A	rs10828055	0	10828055	intergenic_variant	1	0.3	9E-6	5.04575749056068	(EA)	NA		Illumina [4404269] (imputed)	N
8	rs55829750	10	20783841	rs10828065	2022-09-01	31882771	Al-Khelaifi F	2019-12-27	Sci Rep	www.ncbi.nlm.nih.gov/pubmed/31882771	Metabolic GWAS of elite athletes reveals novel genetically-influenced metabolites associated with athletic performance.	16a-hydroxy DHEA 3-sulfate levels in elite athletes	490 individuals	NA	10p12.31		AMD1P1 - MIR4675	ENSG00000228339	ENSG00000265372		143812	57058	rs10828065-?	rs10828065	0	10828065	intergenic_variant	1	NR	4E-6	5.39794000867204		0.35697907	[0.21-0.51] unit decrease	Illumina [275016]	N
9	rs34868598	15	58969292	rs4775086	2019-04-15	30696823	Jones SE	2019-01-29	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/30696823	Genome-wide association analyses of chronotype in 697,828 individuals provides insights into circadian rhythms.	Chronotype	449,734  European ancestry individuals	248,098 European ancestry individuals	15q21.3	ADAM10	ADAM10			ENSG00000137845	NA	NA	rs4775086-G	rs4775086	0	4775086	intron_variant	0	0.7637	1E-8	8		1.0270597		Affymetrix [11880941] (imputed)	N
9	rs34868598	15	59012133	rs4238331	2018-09-28	30108127	Hoffmann TJ	2018-08-14	Genetics	www.ncbi.nlm.nih.gov/pubmed/30108127	A Large Multi-ethnic Genome-Wide Association Study of Adult Body Mass Index Identifies Novel Loci.	Body mass index	315,347 European ancestry individuals, 8,322 Hispanic/Latino individuals, 7,290 East Asian ancestry individuals, 3,069 African American individuals, 459 South Asian ancestry individuals	431,743 European ancestry individuals, 9,275 South Asian ancestry individuals, 8,261 African British individuals, 1,822 East Asian ancestry individuals, 7,620 individuals	15q21.3	NR	ADAM10			ENSG00000137845	NA	NA	rs4238331-T	rs4238331	0	4238331	intron_variant	0	NR	5E-9	8.30102999566398		0.011	[NR] unit decrease	Affymetrix [at least 28613428] (imputed)	N
9	rs34868598	15	59012133	rs4238331	2022-04-25	35393526	Montasser ME	2022-04-07	Commun Biol	www.ncbi.nlm.nih.gov/pubmed/35393526	An Amish founder population reveals rare-population genetic determinants of the human lipidome.	Phosphatidylethanolamine (38:6) levels	650 Amish individuals	847 European American ancestry individuals	15q21.3		ADAM10			ENSG00000137845	NA	NA	rs4238331-G	rs4238331	0	4238331	intron_variant	0	0.73374	1E-8	8	(Amish)	0.35199925	unit decrease	Affymetrix [7917567] (imputed)	N
9	rs34868598	15	59072491	rs7169796	2020-04-17	31669095	Zhu Z	2019-10-24	J Allergy Clin Immunol	www.ncbi.nlm.nih.gov/pubmed/31669095	Shared Genetic and Experimental Links between Obesity-Related Traits and Asthma Subtypes in UK Biobank.	Body mass index	457,822 European ancestry individuals	NA	15q21.3	NR	MINDY2			ENSG00000128923	NA	NA	rs7169796-?	rs7169796	0	7169796	intron_variant	0	NR	2E-9	8.69897000433602		NA		Affymetrix [~ 8270000] (imputed)	N
9	rs34868598	15	59141706	rs793571	2019-12-23	31740837	Lam M	2019-11-18	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/31740837	Comparative genetic architectures of schizophrenia in East Asian and European populations.	Schizophrenia	22,778 East Asian ancestry cases, 35,362 East Asian ancestry controls, 33,640 European ancestry cases, 43,456 European ancestry controls	NA	15q22.1	NR	MINDY2			ENSG00000128923	NA	NA	rs793571-?	rs793571	0	793571	intron_variant	0	NR	3E-8	7.52287874528034		1.05443	[1.04-1.07]	Affymetrix, Illumina [12447948] (imputed)	N
9	rs34868598	15	59141706	rs793571	2016-07-23	26198764	Goes FS	2015-07-21	Am J Med Genet B Neuropsychiatr Genet	www.ncbi.nlm.nih.gov/pubmed/26198764	Genome-wide association study of schizophrenia in Ashkenazi Jews.	Schizophrenia	592 Ashkenazi Jewish ancestry cases, 505 Ashkenazi Jewish ancestry controls, 36,989 cases, 113,075 controls	NA	15q22.1	NR	MINDY2			ENSG00000128923	NA	NA	rs793571-A	rs793571	0	793571	intron_variant	0	NR	2E-6	5.69897000433602		1.06	[NR]	Illumina [7158791] (imputed)	N
9	rs34868598	15	59141706	rs793571	2021-09-03	34099189	Blokland GAM	2021-03-23	Biol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/34099189	Sex-Dependent Shared and Nonshared Genetic Architecture Across Mood and Psychotic Disorders.	Schizophrenia	11,361 European ancestry female cases, 18,119 European ancestry female controls, 20,206 European ancestry male cases, 19,375 European ancestry male controls, 686 East Asian ancestry female cases, 1,907 East Asian ancestry female controls, 1,150 East Asian ancestry male cases, 1,476 East Asian ancestry male controls	NA	15q22.1	NR	MINDY2			ENSG00000128923	NA	NA	rs793571-A	rs793571	0	793571	intron_variant	0	0.7532	2E-9	8.69897000433602	(male)	0.1229	[0.083-0.163] unit increase	NR [NR] (imputed)	N
9	rs34868598	15	59141706	rs793571	2021-09-03	34099189	Blokland GAM	2021-03-23	Biol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/34099189	Sex-Dependent Shared and Nonshared Genetic Architecture Across Mood and Psychotic Disorders.	Schizophrenia	11,361 European ancestry female cases, 18,119 European ancestry female controls, 20,206 European ancestry male cases, 19,375 European ancestry male controls	NA	15q22.1	MINDY2	MINDY2			ENSG00000128923	NA	NA	rs793571-A	rs793571	0	793571	intron_variant	0	0.7656	1E-9	9	(male)	0.129	[0.087-0.171] unit increase	NR [NR] (imputed)	N
9	rs34868598	15	59147800	rs431414	2021-09-03	34099189	Blokland GAM	2021-03-23	Biol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/34099189	Sex-Dependent Shared and Nonshared Genetic Architecture Across Mood and Psychotic Disorders.	Schizophrenia, bipolar disorder or recurrent major depressive disorder x sex interaction (3df)	31,567 European ancestry schizophrenia cases,19,924 European ancestry bipolar disorder cases, 5,314 European ancestry recurrent major depressive disorder cases, 78,190 European ancestry controls, 1,836 East Asian ancestry schizophrenia cases, 3,383 East Asian ancestry controls	NA	15q22.1	NR	MINDY2			ENSG00000128923	NA	NA	rs431414-T	rs431414	0	431414	3_prime_UTR_variant	0	NR	2E-6	5.69897000433602		NA		NR [NR] (imputed)	N
