GENE	SYMBOL	CHR	START	STOP	Nsnps_ibs	Nsnps_ded	P_ibs	P_ded
ENSG00000165269	AQP7	9	33384765	33402643	1	1	0.02511	0.04599
ENSG00000148019	CEP78	9	80850978	80894606	22	22	0.024107	0.038742
ENSG00000172159	FRMD3	9	85857905	86153461	539	552	0.027944	0.028059
ENSG00000106692	FKTN	9	108320411	108403399	45	45	0.036532	0.038963
ENSG00000169155	ZBTB43	9	129567285	129600489	16	16	0.031747	0.031216
ENSG00000108239	TBC1D12	10	96162261	96295687	149	149	0.007986	0.00095992
ENSG00000119969	HELLS	10	96305547	96373662	83	83	0.014968	0.0011178
ENSG00000137496	IL18BP	11	71709587	71716761	10	10	0.034974	0.013722
ENSG00000175564	UCP3	11	73711326	73720480	14	14	0.049339	0.022848
ENSG00000111291	GPRC5D	12	13093709	13105081	2	2	0.0032413	0.024212
ENSG00000133704	IPO8	12	30781922	30848920	110	110	0.023497	0.033185
ENSG00000111785	RIC8B	12	107168373	107283090	40	41	0.046424	0.048152
ENSG00000179841	AKAP5	14	64932217	64941221	6	6	0.033485	0.03685
ENSG00000137776	SLTM	15	59171244	59225852	9	9	0.0016966	0.049878
ENSG00000140474	ULK3	15	75128457	75135687	4	4	0.043333	0.0080167
ENSG00000140379	BCL2A1	15	80253231	80263788	2	2	0.00054462	0.04475
ENSG00000185551	NR2F2	15	96869167	96883492	3	3	0.0025676	0.042749
ENSG00000205629	LCMT1	16	25123050	25189552	45	45	0.024032	0.034801
ENSG00000141127	PRPSAP2	17	18743398	18834581	90	90	0.03342	0.01322
ENSG00000168517	HEXIM2	17	43238067	43247407	3	3	0.024526	0.038589
ENSG00000154889	MPPE1	18	11882621	11909222	38	38	0.040443	0.034704
ENSG00000175065	DSG4	18	28956740	28994875	49	49	0.036253	0.010726
ENSG00000185236	RAB11B	19	8454865	8469318	3	3	0.0065148	0.013548
ENSG00000102575	ACP5	19	11685475	11689823	3	3	4.1577e-05	0.03583
ENSG00000256771	ZNF253	19	19976695	20005483	10	11	0.01688	0.037528
ENSG00000197841	ZNF181	19	35225060	35233777	5	5	0.015806	0.015653
ENSG00000183760	PAPL	19	39574553	39602133	20	20	0.045434	0.02296
ENSG00000126461	SCAF1	19	50145382	50161899	7	7	0.01338	0.0049351
ENSG00000126456	IRF3	19	50162826	50169132	7	7	0.0081694	0.020304
ENSG00000126453	BCL2L12	19	50168823	50177173	6	6	0.0051273	0.0083375
ENSG00000105357	MYH14	19	50691443	50813802	107	107	0.035785	0.025287
ENSG00000101361	NOP56	20	2632791	2639039	8	8	0.010531	0.0073135
ENSG00000101365	IDH3B	20	2639041	2644865	10	10	0.0085224	0.0074114
ENSG00000159128	IFNGR2	21	34775202	34851655	95	95	0.044178	0.022619
ENSG00000142188	TMEM50B	21	34804792	34852318	71	71	0.036258	0.026634
ENSG00000159131	GART	21	34876238	34915797	21	21	0.022422	0.015852
