GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P	SYMBOL
ENSG00000142655	1	10532345	10690815	165	14	28119	-1.1	0.86433	PEX14
ENSG00000130940	1	10696661	10856707	24	8	27863	1.7439	0.040588	CASZ1
ENSG00000175262	1	11006528	11042094	29	6	27959	0.54307	0.29354	C1orf127
ENSG00000120948	1	11072414	11085796	3	1	28101	-1.9851	0.97643	TARDBP
ENSG00000009724	1	11086580	11107290	14	2	28016	-2.0585	0.98023	MASP2
ENSG00000116649	1	11114641	11120081	6	1	28033	0.80367	0.21079	SRM
ENSG00000171824	1	11126675	11159938	58	2	28169	1.0675	0.14287	EXOSC10
ENSG00000198793	1	11166592	11322564	220	7	28172	1.753	0.039803	MTOR
ENSG00000171819	1	11249398	11256038	10	2	28180	1.8077	0.035323	ANGPTL7
ENSG00000120942	1	11333263	11356106	10	1	28155	1.2181	0.1116	UBIAD1
ENSG00000204624	1	11539223	11597641	28	2	27999	0.91838	0.17921	PTCHD2
ENSG00000132879	1	11714432	11723384	1	1	28188	1.0396	0.14925	FBXO44
ENSG00000116663	1	11724181	11734411	2	1	27512	-0.58335	0.72017	FBXO6
ENSG00000116670	1	11734537	11751707	2	1	27825	0.3346	0.36896	MAD2L2
ENSG00000162490	1	11751786	11785914	4	2	28139	-0.40172	0.65606	DRAXIN
ENSG00000177674	1	11796141	11814859	2	1	28108	-0.50621	0.69365	AGTRAP
ENSG00000215910	1	11821844	11849642	25	2	28099	0.53749	0.29547	C1orf167
ENSG00000177000	1	11845780	11866977	31	3	28142	2.4568	0.0070082	MTHFR
ENSG00000011021	1	11866207	11903201	79	2	28169	2.5026	0.0061645	CLCN6
ENSG00000116685	1	11979648	11986485	1	1	28124	1.1743	0.12014	KIAA2013
ENSG00000116688	1	12040238	12073571	42	4	27848	-0.29464	0.61587	MFN2
ENSG00000120949	1	12123434	12204264	17	6	27880	0.14297	0.44316	TNFRSF8
ENSG00000028137	1	12227060	12269285	11	1	27743	0.072167	0.47123	TNFRSF1B
ENSG00000048707	1	12290124	12572099	47	3	28090	-0.24286	0.59594	VPS13D
ENSG00000162496	1	12627939	12677737	3	1	27921	-0.44882	0.67322	DHRS3
ENSG00000162494	1	13801445	13840543	27	9	27960	0.15461	0.43856	LRRC38
ENSG00000162493	1	13909960	13944452	45	12	28043	-0.13056	0.55194	PDPN
ENSG00000116731	1	14026693	14151574	83	13	28045	0.67874	0.24865	PRDM2
ENSG00000189337	1	14925200	15444539	300	62	27983	0.86183	0.19439	KAZN
ENSG00000171729	1	15479028	15546976	107	12	28043	-2.199	0.98606	TMEM51
ENSG00000204464	1	15490840	15497813	8	1	27965	-0.36211	0.64136	C1orf195
ENSG00000142621	1	15573768	15726779	174	18	28107	-0.49713	0.69045	FHAD1
ENSG00000142634	1	15736391	15756839	3	1	27733	0.6742	0.25009	EFHD2
ENSG00000142615	1	15783223	15798586	11	2	28000	-1.8639	0.96883	CELA2A
ENSG00000215704	1	15792404	15817895	9	2	28051	-2.1037	0.9823	CELA2B
ENSG00000132906	1	15817327	15853029	59	3	28118	-1.3473	0.91106	CASP9
ENSG00000116138	1	15853308	15918874	83	5	28079	-0.86902	0.80758	DNAJC16
ENSG00000116771	1	15898848	15911605	26	3	28006	-0.89002	0.81327	AGMAT
ENSG00000116786	1	16010827	16061264	10	1	28140	0.16055	0.43623	PLEKHM2
ENSG00000162458	1	16083102	16113089	17	2	28017	-0.61299	0.73006	FBLIM1
ENSG00000065526	1	16174359	16266955	8	1	28179	0.80978	0.20903	SPEN
ENSG00000116809	1	16268364	16302627	9	1	28095	0.75282	0.22578	ZBTB17
ENSG00000183888	1	16330731	16335302	7	2	28159	-0.49033	0.68805	C1orf64
ENSG00000173641	1	16340523	16346089	28	2	28149	-0.072748	0.529	HSPB7
ENSG00000186510	1	16345370	16360545	1	1	28161	-0.00044901	0.50018	CLCNKA
ENSG00000185519	1	16384264	16400127	1	1	28119	0.21982	0.41301	FAM131C
ENSG00000142627	1	16450832	16482582	5	2	28085	-0.15318	0.56087	EPHA2
ENSG00000142632	1	16524349	16539104	22	1	28112	0.72538	0.23411	ARHGEF19
ENSG00000132881	1	16558195	16563657	5	2	28058	1.3616	0.086669	RSG1
ENSG00000037637	1	16573334	16678949	86	3	28149	0.71741	0.23656	FBXO42
ENSG00000055070	1	16679070	16724640	26	2	28100	1.1214	0.13105	SZRD1
ENSG00000187144	1	16713612	16763919	14	2	27870	1.9776	0.023985	SPATA21
ENSG00000157191	1	16767167	16786573	11	2	27945	-0.15235	0.56055	NECAP2
ENSG00000058453	1	17066768	17299474	4	1	28000	0.77101	0.22035	CROCC
ENSG00000117122	1	17300997	17307330	2	1	27924	0.024512	0.49022	MFAP2
ENSG00000159363	1	17312453	17338423	7	2	28063	0.48044	0.31546	ATP13A2
ENSG00000117118	1	17345217	17380665	37	3	28100	0.67811	0.24885	SDHB
ENSG00000117115	1	17393256	17445948	69	2	28060	-0.80644	0.79001	PADI2
ENSG00000142623	1	17531621	17572500	10	2	28073	0.30913	0.37861	PADI1
ENSG00000142619	1	17575593	17610728	31	3	28026	0.94779	0.17162	PADI3
ENSG00000159339	1	17634690	17690499	6	1	27916	0.073649	0.47064	PADI4
ENSG00000269468	1	17655507	17676070	4	1	28111	0.18612	0.42618	AC004824.2
ENSG00000179051	1	17733256	17766220	15	1	28042	-0.0044209	0.50176	RCC2
ENSG00000074964	1	17866330	18024369	118	8	28077	0.66324	0.25359	ARHGEF10L
ENSG00000117148	1	18081808	18153558	111	15	27972	0.2121	0.41601	ACTL8
ENSG00000117154	1	18434240	18704977	228	45	28027	-0.489	0.68758	IGSF21
ENSG00000179023	1	18807424	18812478	6	2	28079	-1.0718	0.85809	KLHDC7A
ENSG00000009709	1	18957500	19075360	80	11	27974	-0.65101	0.74248	PAX7
ENSG00000179002	1	19166093	19186176	38	5	28076	0.036626	0.48539	TAS1R2
ENSG00000255275	1	19175767	19247615	57	6	28036	1.0016	0.15826	RP13-279N23.2
ENSG00000159423	1	19197926	19229275	18	3	28060	0.36153	0.35885	ALDH4A1
ENSG00000169991	1	19230775	19283180	29	2	28012	1.1755	0.11991	IFFO2
ENSG00000127481	1	19401000	19536770	106	8	28099	-0.24913	0.59837	UBR4
ENSG00000127463	1	19542158	19578046	34	3	28045	-2.4454	0.99276	EMC1
ENSG00000053372	1	19578033	19586622	21	2	28163	-0.020553	0.5082	MRTO4
ENSG00000162482	1	19609052	19615744	2	1	27950	0.27764	0.39064	AKR7A3
ENSG00000053371	1	19630459	19638640	5	2	27961	-0.49029	0.68804	AKR7A2
ENSG00000040487	1	19638820	19655794	42	4	27812	1.6023	0.054549	PQLC2
ENSG00000077549	1	19665267	19812066	271	16	28059	1.1342	0.12836	CAPZB
ENSG00000270136	1	19923473	19984549	40	7	27985	1.3907	0.082152	MINOS1-NBL1
ENSG00000173436	1	19923477	19956314	19	4	28097	1.3242	0.092713	MINOS1
ENSG00000158747	1	19967048	19984945	9	3	27791	0.13126	0.44778	NBL1
ENSG00000158748	1	19991780	20006055	8	2	28005	0.75259	0.22585	HTR6
ENSG00000162542	1	20008706	20126438	54	10	27914	-0.58071	0.71928	TMCO4
ENSG00000169914	1	20209006	20239438	20	4	28040	0.12455	0.45044	OTUD3
ENSG00000188784	1	20246502	20250110	7	2	28054	-1.4362	0.92452	PLA2G2E
ENSG00000188257	1	20301925	20306932	3	1	28021	1.4133	0.078782	PLA2G2A
ENSG00000127472	1	20354672	20417683	104	10	28127	-1.2535	0.89498	PLA2G5
ENSG00000117215	1	20438432	20446050	1	1	28188	0.89942	0.18422	PLA2G2D
ENSG00000187980	1	20487746	20503917	13	3	27935	0.70286	0.24107	PLA2G2C
ENSG00000158816	1	20617412	20681387	69	5	27921	1.2323	0.10892	VWA5B1
ENSG00000162545	1	20808884	20812713	1	1	27922	0.14566	0.4421	CAMK2N1
ENSG00000090432	1	20825943	20834654	11	3	28116	-0.5013	0.69192	MUL1
ENSG00000183114	1	20878932	20881512	1	1	28114	-0.01237	0.50493	FAM43B
ENSG00000158825	1	20915441	20945401	49	9	27962	-1.4123	0.92106	CDA
ENSG00000158828	1	20959948	20978004	36	5	28136	-1.0846	0.86095	PINK1
ENSG00000244038	1	20978270	20988000	14	3	28148	-0.74553	0.77203	DDOST
ENSG00000117245	1	20990507	21044510	22	7	28010	-0.51053	0.69516	KIF17
ENSG00000189410	1	21046225	21059330	13	3	27910	0.18023	0.42849	SH2D5
ENSG00000127483	1	21069154	21113816	29	2	28014	-1.1688	0.87876	HP1BP3
ENSG00000075151	1	21132963	21503377	263	8	28140	-0.74859	0.77295	EIF4G3
ENSG00000117298	1	21543740	21671997	39	4	28083	0.64804	0.25848	ECE1
ENSG00000142794	1	21766621	21811498	67	5	28086	2.3334	0.0098127	NBPF3
ENSG00000162551	1	21835858	21904905	97	7	28015	-0.084222	0.53356	ALPL
ENSG00000076864	1	21922708	21995801	21	4	28115	2.1771	0.014736	RAP1GAP
ENSG00000090686	1	22004791	22110099	42	4	28043	-1.7809	0.96254	USP48
ENSG00000187942	1	22138758	22151714	4	1	27676	-0.32648	0.62797	LDLRAD2
ENSG00000142798	1	22148738	22263790	46	7	27942	0.98245	0.16294	HSPG2
ENSG00000219073	1	22303514	22325135	18	2	27965	2.7282	0.003184	CELA3B
ENSG00000070831	1	22379120	22419437	6	2	28091	0.62154	0.26712	CDC42
ENSG00000162552	1	22443798	22470462	32	3	28072	-0.306	0.6202	WNT4
ENSG00000184677	1	22778344	22857650	49	4	28116	2.045	0.020429	ZBTB40
ENSG00000070886	1	22890057	22930087	5	2	27951	-0.15248	0.5606	EPHA8
ENSG00000173372	1	22962999	22966101	3	1	27513	-1.5544	0.93996	C1QA
ENSG00000159189	1	22970123	22974603	11	2	27821	-1.2325	0.89113	C1QC
ENSG00000173369	1	22979255	22988031	8	2	27987	-1.2082	0.88651	C1QB
ENSG00000133216	1	23037332	23241818	112	21	28060	0.32022	0.3744	EPHB2
ENSG00000215906	1	23279536	23291831	14	3	27616	0.55748	0.2886	LACTBL1
ENSG00000227868	1	23337327	23342343	4	2	28019	1.5047	0.066198	C1orf234
ENSG00000004487	1	23345941	23410182	43	4	28085	1.2854	0.099333	KDM1A
ENSG00000169641	1	23410516	23504301	54	4	28122	1.6337	0.051159	LUZP1
ENSG00000179546	1	23516993	23521222	1	1	28135	0.29492	0.38403	HTR1D
ENSG00000125944	1	23630264	23670829	12	3	28055	-0.92163	0.82164	HNRNPR
ENSG00000125945	1	23685941	23695935	17	3	28019	0.31954	0.37466	ZNF436
ENSG00000249087	1	23695490	23698332	2	1	28039	0.48735	0.31301	C1orf213
ENSG00000204219	1	23707554	23751233	61	7	27965	0.93466	0.17498	TCEA3
ENSG00000088280	1	23755056	23811061	46	5	28151	1.5713	0.05806	ASAP3
ENSG00000007968	1	23832922	23857712	11	2	28115	-0.59778	0.72501	E2F2
ENSG00000197880	1	23907985	23967058	9	2	27494	-0.75275	0.7742	MDS2
ENSG00000011007	1	24069645	24088549	3	1	27999	0.41631	0.33859	TCEB3
ENSG00000057757	1	24104895	24114722	3	1	28093	0.6774	0.24908	PITHD1
ENSG00000011009	1	24117460	24122029	1	1	28015	0.25069	0.40103	LYPLA2
ENSG00000117305	1	24128375	24165110	24	2	28040	-0.14318	0.55693	HMGCL
ENSG00000179163	1	24171567	24194784	13	2	27781	-0.62669	0.73457	FUCA1
ENSG00000188822	1	24197016	24285549	78	4	28105	1.1297	0.1293	CNR2
ENSG00000189266	1	24285599	24289952	2	1	27224	-3.2188	0.99936	PNRC2
ENSG00000188529	1	24291294	24307417	3	2	28080	-2.1798	0.98536	SRSF10
ENSG00000142661	1	24382525	24438665	56	5	28020	-1.9425	0.97396	MYOM3
ENSG00000142677	1	24446261	24469611	3	1	28072	0.33928	0.3672	IL22RA1
ENSG00000185436	1	24480647	24514449	14	3	27976	-0.14274	0.55675	IFNLR1
ENSG00000158055	1	24645812	24690972	11	3	28032	-1.6241	0.94783	GRHL3
ENSG00000001460	1	24683489	24743424	48	4	28066	-1.6446	0.94997	STPG1
ENSG00000001461	1	24742284	24799466	73	5	28045	-0.72921	0.76706	NIPAL3
ENSG00000117602	1	24829387	24867530	24	2	27734	1.0835	0.1393	RCAN3
ENSG00000184454	1	24882602	24935819	74	9	27945	1.3461	0.089139	NCMAP
ENSG00000133226	1	24958207	24999758	7	2	28061	0.84333	0.19952	SRRM1
ENSG00000169504	1	25071848	25170815	27	2	28141	1.3737	0.084766	CLIC4
ENSG00000020633	1	25226002	25291612	14	3	27810	-1.3201	0.9066	RUNX3
ENSG00000204178	1	25757388	25826700	32	1	28083	0.97851	0.16391	TMEM57
ENSG00000157978	1	25870071	25895377	8	1	28019	-0.85226	0.80297	LDLRAP1
ENSG00000117643	1	25943959	26112698	109	5	27989	0.36481	0.35763	MAN1C1
ENSG00000117632	1	26210672	26233482	13	1	28067	-0.9878	0.83837	STMN1
ENSG00000158006	1	26286258	26324648	35	2	28087	0.088334	0.46481	PAFAH2
ENSG00000158008	1	26346375	26362955	20	4	28107	0.98863	0.16142	EXTL1
ENSG00000158014	1	26363743	26372624	10	2	28113	0.37207	0.35492	SLC30A2
ENSG00000158022	1	26377795	26394927	16	3	27864	-0.31641	0.62415	TRIM63
ENSG00000175087	1	26437664	26452034	1	1	28188	0.93656	0.17449	PDIK1L
ENSG00000197245	1	26485511	26489119	2	1	28115	0.48045	0.31545	FAM110D
ENSG00000142684	1	26496362	26498551	3	1	27770	-0.21326	0.58444	ZNF593
ENSG00000142675	1	26503894	26516377	9	1	28162	-0.11781	0.54689	CNKSR1
ENSG00000188782	1	26517052	26529459	5	1	28090	0.099383	0.46042	CATSPER4
ENSG00000130695	1	26560691	26605299	53	4	28144	-0.099026	0.53944	CEP85
ENSG00000158062	1	26607819	26644854	59	3	28046	-0.10454	0.54163	UBXN11
ENSG00000176092	1	26648350	26680621	30	4	27922	0.041659	0.48339	AIM1L
ENSG00000176083	1	26688125	26701013	16	2	27997	0.22713	0.41016	ZNF683
ENSG00000131914	1	26737269	26756213	9	3	27873	-0.45636	0.67593	LIN28A
ENSG00000117682	1	26758773	26797785	24	4	28143	0.613	0.26994	DHDDS
ENSG00000198830	1	26798941	26802463	1	1	28114	0.90471	0.18281	HMGN2
ENSG00000117676	1	26856252	26901521	46	3	28019	0.53921	0.29487	RPS6KA1
ENSG00000117713	1	27022524	27108595	2	1	28161	-0.64305	0.73991	ARID1A
ENSG00000090020	1	27425306	27493472	19	1	28136	-0.53835	0.70483	SLC9A1
ENSG00000142784	1	27561007	27635110	21	1	28163	0.23054	0.40884	WDTC1
ENSG00000186501	1	27648651	27662891	1	1	28072	-0.37207	0.64508	TMEM222
ENSG00000142765	1	27668513	27680421	4	2	28093	-0.32793	0.62852	SYTL1
ENSG00000142733	1	27681675	27693383	1	1	28175	0.26004	0.39742	MAP3K6
ENSG00000174950	1	27705666	27709870	1	1	27792	-0.36193	0.6413	CD164L2
ENSG00000158195	1	27730730	27816669	43	1	28097	-1.9583	0.9749	WASF2
ENSG00000126709	1	27992572	27998729	3	1	27860	-0.94764	0.82834	IFI6
ENSG00000009780	1	28052490	28089633	36	1	28168	-0.071803	0.52862	FAM76A
ENSG00000117758	1	28099694	28150963	24	1	28060	0.11475	0.45432	STX12
ENSG00000117751	1	28157289	28178187	10	1	28051	0.13625	0.44581	PPP1R8
ENSG00000130775	1	28199055	28213196	6	1	27990	-0.63735	0.73805	THEMIS2
ENSG00000117748	1	28218035	28241257	26	2	28050	-0.59656	0.7246	RPA2
ENSG00000130768	1	28261504	28285668	41	6	27903	0.75259	0.22585	SMPDL3B
ENSG00000158161	1	28296855	28415207	69	4	28048	1.2635	0.1032	EYA3
ENSG00000169403	1	28473677	28520447	11	2	28092	-0.68394	0.75299	PTAFR
ENSG00000126698	1	28525967	28559536	30	1	28155	-0.24527	0.59688	DNAJC8
ENSG00000130770	1	28562620	28573417	18	1	28172	-0.39293	0.65281	ATPIF1
ENSG00000130766	1	28586038	28609002	9	1	28087	0.14132	0.44381	SESN2
ENSG00000130772	1	28655513	28662476	1	1	28188	0.80895	0.20927	MED18
ENSG00000204138	1	28696114	28826881	139	2	28163	-0.93906	0.82615	PHACTR4
ENSG00000180198	1	28832455	28865812	18	1	27894	-2.0799	0.98123	RCC1
ENSG00000180098	1	28879597	28905051	17	1	27862	-1.7889	0.96318	TRNAU1AP
ENSG00000120656	1	28915835	28969597	13	1	28135	-0.42305	0.66387	TAF12
ENSG00000162419	1	28995244	29045865	22	1	28034	-0.35457	0.63854	GMEB1
ENSG00000198492	1	29063133	29096287	23	1	28163	0.076982	0.46932	YTHDF2
ENSG00000116329	1	29138654	29190208	43	3	28047	-1.0187	0.84583	OPRD1
ENSG00000159023	1	29213603	29446553	141	9	28126	0.86348	0.19394	EPB41
ENSG00000253304	1	29445940	29450447	2	1	28106	1.0119	0.1558	TMEM200B
ENSG00000116350	1	29474255	29508499	20	4	28144	-0.015505	0.50619	SRSF4
ENSG00000116353	1	29519385	29557454	37	4	28146	0.43574	0.33151	MECR
ENSG00000060656	1	29563028	29653325	53	6	28043	0.29376	0.38447	PTPRU
ENSG00000162510	1	31184124	31196434	27	4	28116	0.14044	0.44416	MATN1
ENSG00000162511	1	31205316	31230667	7	4	27943	-1.3449	0.91067	LAPTM5
ENSG00000162512	1	31342314	31381608	5	3	27799	0.2674	0.39458	SDC3
ENSG00000134644	1	31404353	31538838	87	5	28126	0.40685	0.34206	PUM1
ENSG00000084628	1	31652592	31712401	185	13	28060	-0.24231	0.59573	NKAIN1
ENSG00000060688	1	31732417	31769662	70	7	28155	-0.4061	0.65767	SNRNP40
ENSG00000121766	1	31769842	31837783	111	8	28167	-0.3004	0.61806	ZCCHC17
ENSG00000121769	1	31838472	31849697	11	3	28026	-0.037169	0.51482	FABP3
ENSG00000168528	1	31882412	31907525	57	4	28018	-1.5582	0.9404	SERINC2
ENSG00000142910	1	32042116	32053288	1	1	28188	0.11628	0.45372	TINAGL1
ENSG00000121764	1	32083287	32098119	11	1	28074	-0.52376	0.69978	HCRTR1
ENSG00000162517	1	32095463	32110497	9	1	28020	-0.55007	0.70887	PEF1
ENSG00000084636	1	32117848	32169920	22	5	28035	-0.61959	0.73223	COL16A1
ENSG00000121753	1	32192718	32230494	4	1	27823	1.5225	0.063939	BAI2
ENSG00000134668	1	32256023	32281652	11	3	27806	1.4992	0.066909	SPOCD1
ENSG00000184007	1	32372022	32410457	4	1	28100	-2.1056	0.98238	PTP4A2
ENSG00000121774	1	32479430	32526451	1	1	27472	1.8704	0.030717	KHDRBS1
ENSG00000121775	1	32537632	32568467	11	1	28064	1.4614	0.071957	TMEM39B
ENSG00000025800	1	32573639	32642169	26	1	28112	1.572	0.057978	KPNA6
ENSG00000084652	1	32645287	32663886	9	1	28118	1.5432	0.061388	TXLNA
ENSG00000160051	1	32671236	32674288	1	1	27987	1.4369	0.075375	IQCC
ENSG00000222046	1	32674695	32681797	3	1	28076	1.4994	0.066885	DCDC2B
ENSG00000160055	1	32680073	32687972	4	1	28032	1.6295	0.051603	TMEM234
ENSG00000084623	1	32687529	32697205	8	1	28009	1.4088	0.07945	EIF3I
ENSG00000116478	1	32757687	32799236	2	1	27982	1.9124	0.027912	HDAC1
ENSG00000254553	1	32930658	33066393	99	2	28130	-0.3699	0.64427	RP1-27O5.3
ENSG00000273274	1	32930670	32962287	11	1	28109	-0.26274	0.60362	ZBTB8B
ENSG00000160062	1	33005028	33071540	63	3	28112	-0.37678	0.64683	ZBTB8A
ENSG00000176261	1	33065773	33116504	73	3	28108	0.046608	0.48141	ZBTB8OS
ENSG00000162521	1	33116743	33151812	54	2	28175	0.25502	0.39936	RBBP4
ENSG00000162520	1	33145507	33169197	39	3	28114	0.20035	0.4206	SYNC
ENSG00000162522	1	33207486	33240571	8	2	28140	-1.9146	0.97223	KIAA1522
ENSG00000134684	1	33240840	33283754	20	1	28104	-0.4679	0.68007	YARS
ENSG00000116497	1	33282368	33324476	20	1	28034	-0.36789	0.64352	S100PBP
ENSG00000160097	1	33327869	33338083	6	1	27932	-0.28251	0.61122	FNDC5
ENSG00000116514	1	33402046	33430286	22	2	28047	-0.38362	0.64937	RNF19B
ENSG00000004455	1	33473585	33546597	33	4	28031	-0.73506	0.76885	AK2
ENSG00000142920	1	33546705	33586131	50	3	28104	-0.39342	0.653	ADC
ENSG00000116525	1	33611003	33647660	46	4	28095	0.64522	0.25939	TRIM62
ENSG00000160094	1	33722146	33766320	15	3	27772	-0.24351	0.59619	ZNF362
ENSG00000184389	1	33772367	33786699	24	5	28121	0.051045	0.47964	A3GALT2
ENSG00000134686	1	33789224	33896653	132	11	28138	0.0012703	0.49949	PHC2
ENSG00000121903	1	33938246	33962107	23	4	27995	0.53425	0.29658	ZSCAN20
ENSG00000121904	1	33979609	34631443	543	63	28026	-0.22	0.58707	CSMD2
ENSG00000142698	1	34632484	34684732	73	7	28097	0.026491	0.48943	C1orf94
