GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P	SYMBOL
ENSG00000162413	1	6650784	6674667	21	3	26558	-0.75966	0.77627	KLHL21
ENSG00000116273	1	6673745	6684093	12	2	26655	-0.71084	0.76141	PHF13
ENSG00000041988	1	6684926	6695646	16	2	26652	-0.77107	0.77967	THAP3
ENSG00000007923	1	6694228	6761984	38	2	26664	-0.27847	0.60967	DNAJC11
ENSG00000171735	1	6845384	7829766	673	73	26643	-1.6366	0.94914	CAMTA1
ENSG00000049245	1	7831329	7841492	1	1	26830	-0.74677	0.7724	VAMP3
ENSG00000049246	1	7844380	7905237	49	5	26721	-0.17234	0.56841	PER3
ENSG00000049247	1	7903143	7913572	5	2	26380	-1.6087	0.94616	UTS2
ENSG00000049249	1	7979907	8000926	23	2	26379	1.557	0.059733	TNFRSF9
ENSG00000116288	1	8014351	8045565	24	3	26747	2.1014	0.017801	PARK7
ENSG00000116285	1	8064464	8086368	23	2	26743	2.1433	0.016046	ERRFI1
ENSG00000162426	1	8377886	8404227	21	2	26509	0.25041	0.40114	SLC45A1
ENSG00000142599	1	8412457	8877702	315	10	26790	-0.95073	0.82913	RERE
ENSG00000074800	1	8921061	8939308	13	2	26689	0.95468	0.16987	ENO1
ENSG00000131686	1	9005926	9035151	8	4	26497	0.99529	0.1598	CA6
ENSG00000197241	1	9063359	9086404	13	5	26694	-0.45575	0.67572	SLC2A7
ENSG00000142583	1	9095166	9148537	37	7	26602	1.3568	0.087421	SLC2A5
ENSG00000180758	1	9160364	9189229	11	2	26474	0.056934	0.4773	GPR157
ENSG00000049239	1	9294834	9331396	30	4	26746	-0.15239	0.56056	H6PD
ENSG00000171621	1	9352939	9429591	11	4	26682	-0.27052	0.60662	SPSB1
ENSG00000171612	1	9599541	9645237	20	2	26758	-0.61711	0.73142	SLC25A33
ENSG00000171608	1	9711790	9789172	31	6	26550	-0.85766	0.80446	PIK3CD
ENSG00000179840	1	9712668	9714644	4	2	26615	-1.3539	0.91212	C1orf200
ENSG00000171603	1	9789084	9884584	35	2	26795	-1.0547	0.85423	CLSTN1
ENSG00000178585	1	9908334	9970394	1	1	26824	-0.99899	0.8411	CTNNBIP1
ENSG00000162441	1	9982173	10003465	11	1	26605	-1.1107	0.86665	LZIC
ENSG00000173614	1	10003486	10045559	26	3	26735	-0.38107	0.64842	NMNAT1
ENSG00000162444	1	10057264	10076078	4	1	26369	-0.85539	0.80383	RBP7
ENSG00000130939	1	10092890	10241297	62	8	26694	0.054991	0.47807	UBE4B
ENSG00000054523	1	10270863	10441661	202	6	26783	0.78084	0.21745	KIF1B
ENSG00000142657	1	10458649	10480201	8	1	26786	0.49957	0.30869	PGD
ENSG00000251503	1	10490159	10512210	31	4	26671	-0.15819	0.56285	APITD1-CORT
ENSG00000175279	1	10490159	10512210	31	4	26671	-0.15819	0.56285	APITD1
ENSG00000241563	1	10509776	10511959	1	1	26730	0.072002	0.4713	CORT
ENSG00000160049	1	10516579	10532583	15	4	26691	-1.5677	0.94153	DFFA
ENSG00000142655	1	10532345	10690815	184	15	26766	-0.039014	0.51556	PEX14
ENSG00000130940	1	10696661	10856707	31	9	26552	-0.17027	0.5676	CASZ1
ENSG00000175262	1	11006528	11042094	31	6	26607	-0.28659	0.61279	C1orf127
ENSG00000120948	1	11072414	11085796	7	2	26764	0.8719	0.19163	TARDBP
ENSG00000009724	1	11086580	11107290	16	2	26673	0.81221	0.20834	MASP2
ENSG00000116649	1	11114641	11120081	6	1	26690	0.36526	0.35746	SRM
ENSG00000171824	1	11126675	11159938	61	2	26810	0.22524	0.41089	EXOSC10
ENSG00000198793	1	11166592	11322564	252	8	26813	0.11	0.45621	MTOR
ENSG00000171819	1	11249398	11256038	10	2	26821	-0.25145	0.59927	ANGPTL7
ENSG00000120942	1	11333263	11356106	15	1	26798	0.14172	0.44365	UBIAD1
ENSG00000204624	1	11539223	11597641	30	3	26618	-0.074262	0.5296	PTCHD2
ENSG00000132879	1	11714432	11723384	1	1	26830	2.4682	0.00679	FBXO44
ENSG00000116663	1	11724181	11734411	3	1	26132	-0.055749	0.52223	FBXO6
ENSG00000116670	1	11734537	11751707	2	1	26475	-0.79143	0.78565	MAD2L2
ENSG00000162490	1	11751786	11785914	4	1	26776	-0.73276	0.76815	DRAXIN
ENSG00000177674	1	11796141	11814859	2	1	26754	-1.2397	0.89246	AGTRAP
ENSG00000215910	1	11821844	11849642	29	2	26748	-0.62401	0.73369	C1orf167
ENSG00000177000	1	11845780	11866977	36	3	26787	0.41798	0.33798	MTHFR
ENSG00000011021	1	11866207	11903201	90	3	26812	0.63245	0.26354	CLCN6
ENSG00000116685	1	11979648	11986485	1	1	26764	1.7162	0.04306	KIAA2013
ENSG00000116688	1	12040238	12073571	47	4	26482	0.13492	0.44634	MFN2
ENSG00000120949	1	12123434	12204264	20	6	26570	0.01279	0.4949	TNFRSF8
ENSG00000028137	1	12227060	12269285	17	1	26395	1.3866	0.082782	TNFRSF1B
ENSG00000048707	1	12290124	12572099	52	3	26728	0.53055	0.29787	VPS13D
ENSG00000162496	1	12627939	12677737	6	2	26673	0.22996	0.40906	DHRS3
ENSG00000162494	1	13801445	13840543	30	10	26612	0.9368	0.17443	LRRC38
ENSG00000162493	1	13909960	13944452	53	12	26693	-0.42766	0.66555	PDPN
ENSG00000116731	1	14026693	14151574	97	13	26684	-1.149	0.87473	PRDM2
ENSG00000189337	1	14925200	15444539	350	66	26628	1.0567	0.14531	KAZN
ENSG00000171729	1	15479028	15546976	132	13	26692	1.7534	0.039764	TMEM51
ENSG00000204464	1	15490840	15497813	11	2	26613	0.8928	0.18598	C1orf195
ENSG00000142621	1	15573768	15726779	208	20	26745	0.15675	0.43772	FHAD1
ENSG00000142634	1	15736391	15756839	3	1	26406	-0.88189	0.81108	EFHD2
ENSG00000142615	1	15783223	15798586	12	3	26645	-0.37987	0.64798	CELA2A
ENSG00000215704	1	15792404	15817895	11	3	26693	-0.41362	0.66042	CELA2B
ENSG00000132906	1	15817327	15853029	70	3	26762	-1.5689	0.94166	CASP9
ENSG00000116138	1	15853308	15918874	95	5	26691	-1.9467	0.97421	DNAJC16
ENSG00000116771	1	15898848	15911605	31	3	26643	-1.9053	0.97163	AGMAT
ENSG00000116786	1	16010827	16061264	11	1	26786	-0.9995	0.84122	PLEKHM2
ENSG00000162458	1	16083102	16113089	22	2	26613	-0.30551	0.62001	FBLIM1
ENSG00000065526	1	16174359	16266955	11	1	26792	-0.75357	0.77445	SPEN
ENSG00000116809	1	16268364	16302627	10	1	26742	-1.1244	0.86957	ZBTB17
ENSG00000183888	1	16330731	16335302	6	1	26805	-1.3198	0.90654	C1orf64
ENSG00000173641	1	16340523	16346089	30	2	26792	-1.7352	0.95865	HSPB7
ENSG00000186510	1	16345370	16360545	1	1	26810	-0.66727	0.7477	CLCNKA
ENSG00000185519	1	16384264	16400127	1	1	26771	0.31653	0.3758	FAM131C
ENSG00000142627	1	16450832	16482582	5	2	26733	-0.63181	0.73625	EPHA2
ENSG00000142632	1	16524349	16539104	28	2	26750	0.53865	0.29506	ARHGEF19
ENSG00000132881	1	16558195	16563657	6	2	26693	1.2125	0.11265	RSG1
ENSG00000037637	1	16573334	16678949	120	2	26793	1.5958	0.05527	FBXO42
ENSG00000055070	1	16679070	16724640	29	2	26749	1.3731	0.084855	SZRD1
ENSG00000187144	1	16713612	16763919	20	3	26500	0.75686	0.22457	SPATA21
ENSG00000157191	1	16767167	16786573	11	2	26591	0.23976	0.40526	NECAP2
ENSG00000058453	1	17066768	17299474	6	1	26631	-1.5722	0.94204	CROCC
ENSG00000117122	1	17300997	17307330	3	1	26555	-0.39078	0.65202	MFAP2
ENSG00000159363	1	17312453	17338423	6	2	26691	-0.42672	0.66521	ATP13A2
ENSG00000117118	1	17345217	17380665	39	3	26737	0.88945	0.18688	SDHB
ENSG00000117115	1	17393256	17445948	77	2	26705	-1.0183	0.84574	PADI2
ENSG00000142623	1	17531621	17572500	13	2	26712	-1.1305	0.87086	PADI1
ENSG00000142619	1	17575593	17610728	38	3	26674	-0.15477	0.5615	PADI3
ENSG00000159339	1	17634690	17690499	6	1	26562	0.50554	0.30659	PADI4
ENSG00000269468	1	17655507	17676070	4	1	26753	0.52596	0.29946	AC004824.2
ENSG00000179051	1	17733256	17766220	16	1	26694	-0.09218	0.53672	RCC2
ENSG00000074964	1	17866330	18024369	137	9	26718	1.088	0.13829	ARHGEF10L
ENSG00000117148	1	18081808	18153558	140	17	26625	0.1735	0.43113	ACTL8
ENSG00000117154	1	18434240	18704977	264	46	26663	-0.97245	0.83459	IGSF21
ENSG00000179023	1	18807424	18812478	6	2	26722	-0.332	0.63006	KLHDC7A
ENSG00000009709	1	18957500	19075360	100	12	26597	-3.2602	0.99944	PAX7
ENSG00000179002	1	19166093	19186176	47	5	26724	0.35064	0.36293	TAS1R2
ENSG00000255275	1	19175767	19247615	61	5	26689	-1.0371	0.85016	RP13-279N23.2
ENSG00000159423	1	19197926	19229275	19	3	26712	-0.5902	0.72247	ALDH4A1
ENSG00000169991	1	19230775	19283180	31	2	26667	-0.64067	0.73913	IFFO2
ENSG00000127481	1	19401000	19536770	121	8	26754	-1.189	0.88278	UBR4
ENSG00000127463	1	19542158	19578046	42	4	26687	-1.1042	0.86524	EMC1
ENSG00000053372	1	19578033	19586622	21	2	26809	-2.2459	0.98764	MRTO4
ENSG00000162482	1	19609052	19615744	2	1	26605	-1.6889	0.95438	AKR7A3
ENSG00000053371	1	19630459	19638640	5	2	26620	-0.97584	0.83543	AKR7A2
ENSG00000040487	1	19638820	19655794	49	5	26424	0.2908	0.3856	PQLC2
ENSG00000077549	1	19665267	19812066	338	18	26704	0.20615	0.41834	CAPZB
ENSG00000270136	1	19923473	19984549	52	8	26650	-2.4154	0.99214	MINOS1-NBL1
ENSG00000173436	1	19923477	19956314	26	5	26751	-1.9868	0.97653	MINOS1
ENSG00000158747	1	19967048	19984945	9	3	26449	-1.1354	0.87189	NBL1
ENSG00000158748	1	19991780	20006055	10	2	26681	0.49252	0.31118	HTR6
ENSG00000162542	1	20008706	20126438	65	11	26538	0.059524	0.47627	TMCO4
ENSG00000169914	1	20209006	20239438	30	5	26703	-0.54165	0.70597	OTUD3
ENSG00000188784	1	20246502	20250110	8	2	26703	-0.22537	0.58916	PLA2G2E
ENSG00000188257	1	20301925	20306932	3	1	26671	0.30003	0.38208	PLA2G2A
ENSG00000127472	1	20354672	20417683	125	12	26763	0.98092	0.16332	PLA2G5
ENSG00000117215	1	20438432	20446050	1	1	26830	-0.55572	0.7108	PLA2G2D
ENSG00000187980	1	20487746	20503917	15	3	26555	-0.081954	0.53266	PLA2G2C
ENSG00000158816	1	20617412	20681387	82	5	26572	-0.44509	0.67187	VWA5B1
ENSG00000162545	1	20808884	20812713	1	1	26584	-0.74181	0.7709	CAMK2N1
ENSG00000090432	1	20825943	20834654	13	3	26747	-0.27517	0.60841	MUL1
ENSG00000183114	1	20878932	20881512	2	1	26759	-0.022811	0.5091	FAM43B
ENSG00000158825	1	20915441	20945401	62	10	26617	-0.30841	0.62111	CDA
ENSG00000158828	1	20959948	20978004	42	5	26776	-1.8899	0.97062	PINK1
ENSG00000244038	1	20978270	20988000	15	3	26795	0.021803	0.4913	DDOST
ENSG00000117245	1	20990507	21044510	25	7	26660	0.94378	0.17264	KIF17
ENSG00000189410	1	21046225	21059330	16	3	26565	-0.36749	0.64337	SH2D5
ENSG00000127483	1	21069154	21113816	39	2	26656	0.00035248	0.49986	HP1BP3
ENSG00000075151	1	21132963	21503377	321	9	26781	0.24027	0.40506	EIF4G3
ENSG00000117298	1	21543740	21671997	45	5	26722	-0.48846	0.68739	ECE1
ENSG00000142794	1	21766621	21811498	77	5	26735	-0.43621	0.66866	NBPF3
ENSG00000162551	1	21835858	21904905	113	8	26652	-0.093645	0.5373	ALPL
ENSG00000076864	1	21922708	21995801	24	4	26749	0.6716	0.25092	RAP1GAP
ENSG00000090686	1	22004791	22110099	49	5	26711	-0.56413	0.71367	USP48
ENSG00000187942	1	22138758	22151714	4	1	26363	-1.1494	0.87481	LDLRAD2
ENSG00000142798	1	22148738	22263790	50	7	26570	-1.6027	0.9455	HSPG2
ENSG00000219073	1	22303514	22325135	18	2	26598	-0.35656	0.63929	CELA3B
ENSG00000070831	1	22379120	22419437	7	2	26719	-0.80742	0.79029	CDC42
ENSG00000162552	1	22443798	22470462	36	3	26718	-0.43876	0.66958	WNT4
ENSG00000184677	1	22778344	22857650	61	5	26753	0.14387	0.4428	ZBTB40
ENSG00000070886	1	22890057	22930087	5	2	26615	0.71119	0.23848	EPHA8
ENSG00000173372	1	22962999	22966101	2	1	26234	-1.4132	0.9212	C1QA
ENSG00000159189	1	22970123	22974603	12	3	26509	-0.80842	0.79058	C1QC
ENSG00000173369	1	22979255	22988031	9	3	26636	-0.81873	0.79353	C1QB
ENSG00000133216	1	23037332	23241818	133	23	26697	-3.3091	0.99953	EPHB2
ENSG00000215906	1	23279536	23291831	14	3	26278	-0.61116	0.72945	LACTBL1
ENSG00000227868	1	23337327	23342343	5	2	26665	-1.2147	0.88776	C1orf234
ENSG00000004487	1	23345941	23410182	47	4	26725	-0.51953	0.69831	KDM1A
ENSG00000169641	1	23410516	23504301	67	5	26765	-1.4734	0.92968	LUZP1
ENSG00000179546	1	23516993	23521222	1	1	26786	-1.8453	0.9675	HTR1D
ENSG00000125944	1	23630264	23670829	15	3	26694	-1.5911	0.94421	HNRNPR
ENSG00000125945	1	23685941	23695935	19	4	26660	-0.012768	0.50509	ZNF436
ENSG00000249087	1	23695490	23698332	3	2	26698	0.23339	0.40773	C1orf213
ENSG00000204219	1	23707554	23751233	73	8	26610	-1.1116	0.86685	TCEA3
ENSG00000088280	1	23755056	23811061	54	5	26785	-2.5962	0.99529	ASAP3
ENSG00000007968	1	23832922	23857712	12	2	26757	-0.091253	0.53635	E2F2
ENSG00000197880	1	23907985	23967058	10	2	26160	-0.80953	0.79089	MDS2
ENSG00000011007	1	24069645	24088549	3	1	26655	0.30378	0.38065	TCEB3
ENSG00000057757	1	24104895	24114722	3	1	26745	0.050807	0.47974	PITHD1
ENSG00000011009	1	24117460	24122029	1	1	26654	0.1383	0.445	LYPLA2
ENSG00000117305	1	24128375	24165110	27	2	26692	0.61079	0.27067	HMGCL
ENSG00000179163	1	24171567	24194784	18	2	26418	0.31998	0.37449	FUCA1
ENSG00000188822	1	24197016	24285549	84	4	26761	-0.97499	0.83522	CNR2
ENSG00000189266	1	24285599	24289952	2	1	25894	0.48159	0.31505	PNRC2
ENSG00000188529	1	24291294	24307417	3	2	26735	0.057858	0.47693	SRSF10
ENSG00000142661	1	24382525	24438665	65	6	26647	-0.79231	0.78591	MYOM3
ENSG00000142677	1	24446261	24469611	4	1	26717	-1.027	0.84779	IL22RA1
ENSG00000185436	1	24480647	24514449	15	4	26610	-2.6145	0.99553	IFNLR1
ENSG00000158055	1	24645812	24690972	12	3	26698	0.23263	0.40802	GRHL3
ENSG00000001460	1	24683489	24743424	60	4	26700	1.3234	0.092844	STPG1
ENSG00000001461	1	24742284	24799466	79	5	26696	0.81586	0.20729	NIPAL3
ENSG00000117602	1	24829387	24867530	28	2	26458	1.3933	0.081772	RCAN3
ENSG00000184454	1	24882602	24935819	88	10	26606	0.30458	0.38034	NCMAP
ENSG00000133226	1	24958207	24999758	9	2	26693	-0.72504	0.76579	SRRM1
ENSG00000169504	1	25071848	25170815	32	2	26782	-0.93805	0.82589	CLIC4
ENSG00000020633	1	25226002	25291612	17	3	26429	0.24214	0.40434	RUNX3
ENSG00000204178	1	25757388	25826700	46	1	26724	-0.42896	0.66603	TMEM57
ENSG00000157978	1	25870071	25895377	7	1	26670	1.8792	0.030106	LDLRAP1
ENSG00000117643	1	25943959	26112698	130	5	26643	-0.36955	0.64414	MAN1C1
ENSG00000117632	1	26210672	26233482	14	1	26717	-0.69455	0.75633	STMN1
ENSG00000158006	1	26286258	26324648	44	2	26735	-1.386	0.91712	PAFAH2
ENSG00000158008	1	26346375	26362955	26	4	26755	-0.46714	0.6798	EXTL1
ENSG00000158014	1	26363743	26372624	11	2	26759	0.077793	0.469	SLC30A2
ENSG00000158022	1	26377795	26394927	22	4	26487	-0.7929	0.78608	TRIM63
ENSG00000175087	1	26437664	26452034	2	1	26758	-0.25985	0.60251	PDIK1L
ENSG00000197245	1	26485511	26489119	2	1	26746	-0.11239	0.54474	FAM110D
ENSG00000142684	1	26496362	26498551	4	1	26456	0.88624	0.18774	ZNF593
ENSG00000142675	1	26503894	26516377	10	1	26798	0.99423	0.16006	CNKSR1
ENSG00000188782	1	26517052	26529459	5	1	26738	1.1393	0.12728	CATSPER4
ENSG00000130695	1	26560691	26605299	63	4	26790	1.0303	0.15144	CEP85
ENSG00000158062	1	26607819	26644854	69	4	26700	1.0855	0.13885	UBXN11
ENSG00000176092	1	26648350	26680621	35	4	26573	1.1227	0.13079	AIM1L
ENSG00000176083	1	26688125	26701013	17	2	26637	2.1221	0.016915	ZNF683
ENSG00000131914	1	26737269	26756213	10	3	26558	0.45789	0.32351	LIN28A
ENSG00000117682	1	26758773	26797785	31	4	26792	1.1916	0.11671	DHDDS
ENSG00000198830	1	26798941	26802463	2	1	26786	0.88082	0.18921	HMGN2
ENSG00000117676	1	26856252	26901521	54	3	26660	-0.23064	0.5912	RPS6KA1
ENSG00000117713	1	27022524	27108595	2	1	26802	0.2902	0.38583	ARID1A
ENSG00000090020	1	27425306	27493472	20	1	26781	0.3283	0.37134	SLC9A1
ENSG00000142784	1	27561007	27635110	22	1	26807	-0.84574	0.80115	WDTC1
ENSG00000186501	1	27648651	27662891	1	1	26719	-0.049401	0.5197	TMEM222
ENSG00000142765	1	27668513	27680421	6	2	26726	-0.75646	0.77531	SYTL1
ENSG00000142733	1	27681675	27693383	1	1	26819	-1.166	0.8782	MAP3K6
ENSG00000174950	1	27705666	27709870	1	1	26439	1.7313	0.0417	CD164L2
ENSG00000158195	1	27730730	27816669	49	1	26731	1.4585	0.072358	WASF2
ENSG00000126709	1	27992572	27998729	5	1	26524	-0.88256	0.81126	IFI6
ENSG00000009780	1	28052490	28089633	48	1	26810	-1.1119	0.8669	FAM76A
ENSG00000117758	1	28099694	28150963	31	1	26688	-0.86284	0.80589	STX12
ENSG00000117751	1	28157289	28178187	13	1	26655	-1.3775	0.91582	PPP1R8
ENSG00000130775	1	28199055	28213196	7	1	26640	-0.82335	0.79484	THEMIS2
ENSG00000117748	1	28218035	28241257	30	2	26691	-1.2218	0.8891	RPA2
ENSG00000130768	1	28261504	28285668	44	6	26556	-1.3024	0.90361	SMPDL3B
ENSG00000158161	1	28296855	28415207	82	5	26701	0.052977	0.47887	EYA3
ENSG00000169403	1	28473677	28520447	15	2	26703	0.92957	0.1763	PTAFR
ENSG00000126698	1	28525967	28559536	34	1	26791	0.75851	0.22407	DNAJC8
ENSG00000130770	1	28562620	28573417	22	1	26816	0.93763	0.17422	ATPIF1
ENSG00000130766	1	28586038	28609002	15	1	26748	-0.080098	0.53192	SESN2
ENSG00000130772	1	28655513	28662476	2	1	26825	0.48783	0.31283	MED18
ENSG00000204138	1	28696114	28826881	163	2	26803	0.2473	0.40234	PHACTR4
ENSG00000180198	1	28832455	28865812	21	1	26543	-0.66517	0.74703	RCC1
ENSG00000180098	1	28879597	28905051	20	1	26516	-0.17012	0.56754	TRNAU1AP
ENSG00000120656	1	28915835	28969597	18	1	26782	-0.68522	0.7534	TAF12
ENSG00000162419	1	28995244	29045865	25	1	26675	0.087335	0.4652	GMEB1
ENSG00000198492	1	29063133	29096287	29	1	26804	-0.30139	0.61844	YTHDF2
ENSG00000116329	1	29138654	29190208	47	3	26664	-1.4309	0.92378	OPRD1
ENSG00000159023	1	29213603	29446553	174	9	26769	0.89852	0.18445	EPB41
ENSG00000253304	1	29445940	29450447	2	1	26743	1.2256	0.11017	TMEM200B
ENSG00000116350	1	29474255	29508499	20	4	26784	0.84416	0.19929	SRSF4
ENSG00000116353	1	29519385	29557454	47	5	26783	0.103	0.45898	MECR
ENSG00000060656	1	29563028	29653325	59	6	26690	-0.58227	0.71981	PTPRU
ENSG00000162510	1	31184124	31196434	33	5	26759	-0.75481	0.77482	MATN1
ENSG00000162511	1	31205316	31230667	8	4	26568	0.25969	0.39755	LAPTM5
ENSG00000162512	1	31342314	31381608	5	3	26491	0.59523	0.27584	SDC3
ENSG00000134644	1	31404353	31538838	101	6	26768	0.14361	0.4429	PUM1
ENSG00000084628	1	31652592	31712401	222	15	26703	-1.517	0.93537	NKAIN1
ENSG00000060688	1	31732417	31769662	88	8	26791	-1.6485	0.95037	SNRNP40
ENSG00000121766	1	31769842	31837783	137	9	26805	-1.7124	0.95659	ZCCHC17
ENSG00000121769	1	31838472	31849697	14	4	26698	-2.0002	0.97726	FABP3
ENSG00000168528	1	31882412	31907525	65	5	26659	-1.6847	0.95398	SERINC2
ENSG00000142910	1	32042116	32053288	1	1	26830	0.41519	0.339	TINAGL1
ENSG00000121764	1	32083287	32098119	16	2	26719	-0.090841	0.53619	HCRTR1
ENSG00000162517	1	32095463	32110497	14	2	26653	-1.1398	0.87281	PEF1
ENSG00000084636	1	32117848	32169920	24	5	26685	-1.0719	0.85812	COL16A1
ENSG00000121753	1	32192718	32230494	4	1	26476	-1.1618	0.87734	BAI2
ENSG00000134668	1	32256023	32281652	11	3	26460	0.26605	0.3951	SPOCD1
ENSG00000184007	1	32372022	32410457	7	2	26760	0.40636	0.34224	PTP4A2
ENSG00000121774	1	32479430	32526451	1	1	26149	0.75675	0.2246	KHDRBS1
ENSG00000121775	1	32537632	32568467	12	1	26698	0.60792	0.27162	TMEM39B
ENSG00000025800	1	32573639	32642169	34	1	26749	0.99594	0.15964	KPNA6
ENSG00000084652	1	32645287	32663886	11	1	26759	0.99326	0.16029	TXLNA
ENSG00000160051	1	32671236	32674288	2	1	26621	0.95062	0.1709	IQCC
ENSG00000222046	1	32674695	32681797	4	1	26711	1.0436	0.14833	DCDC2B
ENSG00000160055	1	32680073	32687972	4	1	26689	0.88052	0.18929	TMEM234
ENSG00000084623	1	32687529	32697205	8	1	26672	0.92799	0.17671	EIF3I
ENSG00000116478	1	32757687	32799236	2	1	26631	0.55239	0.29034	HDAC1
ENSG00000254553	1	32930658	33066393	119	3	26756	1.4497	0.073576	RP1-27O5.3
ENSG00000273274	1	32930670	32962287	15	1	26752	0.73532	0.23107	ZBTB8B
ENSG00000160062	1	33005028	33071540	74	3	26727	1.6374	0.050769	ZBTB8A
ENSG00000176261	1	33065773	33116504	84	3	26754	2.304	0.010611	ZBTB8OS
ENSG00000162521	1	33116743	33151812	70	3	26809	2.2394	0.012564	RBBP4
ENSG00000162520	1	33145507	33169197	46	3	26760	2.2338	0.012747	SYNC
ENSG00000162522	1	33207486	33240571	11	3	26785	0.65705	0.25558	KIAA1522
ENSG00000134684	1	33240840	33283754	29	1	26738	1.2074	0.11363	YARS
ENSG00000116497	1	33282368	33324476	26	1	26676	1.3215	0.093166	S100PBP
ENSG00000160097	1	33327869	33338083	7	1	26584	1.4756	0.07003	FNDC5
ENSG00000116514	1	33402046	33430286	25	3	26712	1.1609	0.12284	RNF19B
ENSG00000004455	1	33473585	33546597	43	4	26664	1.2277	0.10977	AK2
ENSG00000142920	1	33546705	33586131	56	4	26747	0.78933	0.21496	ADC
ENSG00000116525	1	33611003	33647660	53	5	26732	0.5125	0.30415	TRIM62
ENSG00000160094	1	33722146	33766320	24	4	26417	0.062423	0.47511	ZNF362
ENSG00000184389	1	33772367	33786699	27	5	26761	0.64443	0.25965	A3GALT2
ENSG00000134686	1	33789224	33896653	156	12	26782	0.75986	0.22367	PHC2
ENSG00000121903	1	33938246	33962107	26	3	26661	-0.50986	0.69492	ZSCAN20
ENSG00000121904	1	33979609	34631443	670	73	26668	-0.81385	0.79213	CSMD2
ENSG00000142698	1	34632484	34684732	85	8	26740	-0.97303	0.83473	C1orf94
